Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q5,Q6,Q7,Q8,Q9,Q18,Q14,Q15,Q16
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Basic understanding,3,2,1,120.200,Basic understanding,Historical volatility,0.02058,Basic understanding,Yes,Basic understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Basic understanding,3,2,1,120.200125,Basic understanding,Historical volatility,0.02268,Limited understanding,Yes,Limited understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Good understanding,3,2,1,120.20 + E,Limited understanding,Historical volatility,0.0214,Good understanding,Yes,Basic understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Good understanding,3,2,1,120.200125,Limited understanding,Historical volatility,0.02268,Good understanding,Yes,Basic understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Strong understanding,3,2,1,120.199225,Basic understanding,Historical volatility,0.02268,Good understanding,Yes,Good understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Basic understanding,2,1,3,120.2,Limited understanding,Historical volatility,0.02268,Basic understanding,Yes,Good understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Good understanding,3,2,1,120.20,Basic understanding,Historical volatility,0.02118,Good understanding,Yes,Strong understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Limited understanding,3,2,1,120.2 + e,Basic understanding,Historical volatility,0.0214,Basic understanding,No,Basic understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Good understanding,3,1,2,120.2001,Limited understanding,Historical volatility,Not sure,Basic understanding,Yes,Limited understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Basic understanding,3,2,1,120,Limited understanding,Historical volatility,0.02268,Basic understanding,Yes,Basic understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Good understanding,3,2,1,120.3514,Basic understanding,"Historical volatility,Weighted Average Price,Bid Ask Spread",0.079,Good understanding,Yes,Good understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Strong understanding,3,2,1,120,Basic understanding,Historical volatility,not sure,Good understanding,Yes,Strong understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Strong understanding,3,2,1,120.200125,Good understanding,Historical volatility,0.02268,Strong understanding,Yes,Strong understanding,Yes,5.5
Advanced (Fluency in financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Good understanding,3,2,1,120.200125,Good understanding,Historical volatility,0.02118,Good understanding,Yes,Basic understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Strong understanding,3,2,1,120.200125,Good understanding,Historical volatility,0.02118,Basic understanding,Yes,Good understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Advanced (Fluency in machine learning concepts/terminology),Strong understanding,3,2,1,120.200125,Good understanding,Historical volatility,0.02118,Strong understanding,Yes,Good understanding,Yes,5.5
Intermediate proficiency (Some understanding of financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Basic understanding,3,2,1,120.200125,Strong understanding,Historical volatility,0.02118,Strong understanding,Yes,Basic understanding,Yes,5.5
Zero/minimal (No/very little exposure to financial concepts/terminology),Zero/minimal (No/very little exposure to machine learning concepts/terminology),Good understanding,3,2,1,120.2 + Epsilon,Good understanding,Weighted Average Price,0.02268,Basic understanding,Yes,Basic understanding,Yes,Yes
Zero/minimal (No/very little exposure to financial concepts/terminology),Intermediate proficiency (Some understanding of machine learning concepts/terminology),Strong understanding,3,2,1,120.000325,Strong understanding,"Historical volatility,Weighted Average Price",0.02268,Strong understanding,Yes,Strong understanding,Yes,5.5
